"","X","clicks_yn","AdvertiserId","UserId"
"5553107",5553107,2,12692946,234709
"4683745",4683745,2,12489066,245879
"3277539",3277539,2,12310026,1545191
"4481243",4481243,2,12578706,982106
"1986431",1986431,2,12671106,59188
"458474",458474,2,12671106,1017559
"5905319",5905319,2,12489066,613198
"1630796",1630796,2,12489066,796543
"3734949",3734949,2,12671106,267110
"2142668",2142668,2,12671106,76048
"7800766",7800766,2,12692946,1104772
"4397932",4397932,2,12671106,1189032
"6207691",6207691,2,12671106,1225156
"2443544",2443544,2,12671106,380276
"6358622",6358622,2,12310026,1344021
"7261595",7261595,2,12692946,245105
"3313734",3313734,2,12671106,1667370
"6026324",6026324,2,12671106,1705827
"7275605",7275605,2,12578706,1028885
"78250",78250,2,12310026,1277795
"2100623",2100623,2,12671106,494286
"309365",309365,2,12671106,1246916
"2140341",2140341,2,12671106,1142792
"339440",339440,2,12671106,1278455
"2084170",2084170,2,12671106,893355
"7617865",7617865,2,12692946,290039
"3874100",3874100,2,12692946,1067092
"6870602",6870602,2,12692946,471544
"5502983",5502983,2,12692946,879173
"180397",180397,2,12692946,1115379
"6172288",6172288,2,12310026,24398
"958040",958040,2,12692946,52578
"1031828",1031828,2,12692946,923918
"808008",808008,2,12310026,270148
"6789249",6789249,2,12671106,1724143
"7802018",7802018,2,12692946,774826
"90881",90881,2,12489066,1542896
"4941897",4941897,2,12310026,163557
"423895",423895,2,12671106,1540588
"5682716",5682716,2,12692946,185837
"3493751",3493751,2,12310026,1544010
"5494541",5494541,2,12310026,187361
"896375",896375,2,12310026,747490
"2187637",2187637,2,12671106,18445
"6932496",6932496,2,12671106,532583
"7605889",7605889,2,12671106,1549235
"6398108",6398108,2,12310026,867202
"1253756",1253756,2,12489066,396540
"496649",496649,2,12310026,716670
"4261101",4261101,2,12692946,1231744
"2956574",2956574,2,12671106,19591
"2249097",2249097,2,12671106,1380388
"1060415",1060415,2,12578706,229300
"2442590",2442590,2,12671106,1639886
"3799249",3799249,2,12671106,1685554
"3554557",3554557,2,12310026,339017
"2924024",2924024,2,12671106,822945
"6078095",6078095,2,12671106,1163944
"380850",380850,2,12671106,12461
"5070394",5070394,2,12578706,852605
"3446169",3446169,2,12671106,1530297
"3304505",3304505,2,12671106,505491
"3651108",3651108,2,12671106,1321632
"3702301",3702301,2,12671106,1792020
"4398295",4398295,2,12310026,683021
"2615035",2615035,2,12671106,365351
"3019116",3019116,2,12671106,502337
"5447212",5447212,2,12692946,1098943
"2751935",2751935,2,12310026,1301320
"5997887",5997887,2,12310026,245236
"288070",288070,2,12671106,825136
"5759352",5759352,2,12671106,847036
"4217405",4217405,2,12310026,909226
"7067045",7067045,2,12671106,1474440
"1851432",1851432,2,12578706,666849
"4034435",4034435,2,12671106,942728
"3739365",3739365,2,12671106,1634573
"5183956",5183956,2,12671106,883209
"1908372",1908372,2,12671106,916585
"1783110",1783110,2,12578706,1049366
"3811687",3811687,2,12671106,1434426
"1640334",1640334,2,12578706,682502
"2822887",2822887,2,12578706,1479926
"7177332",7177332,2,12692946,39145
"5542237",5542237,2,12310026,590598
"1359579",1359579,2,12692946,342346
"3347661",3347661,2,12671106,1502823
"7649322",7649322,2,12310026,1038607
"8497",8497,2,12692946,71474
"807362",807362,2,12671106,1279214
"7215709",7215709,2,12692946,1826549
"6508659",6508659,2,12692946,466752
"1282605",1282605,2,12692946,1600891
"6268552",6268552,2,12692946,53220
"392252",392252,2,12671106,1862278
"7161015",7161015,2,12310026,87072
"3339507",3339507,2,12310026,698603
"3241035",3241035,2,12671106,1727444
"1457392",1457392,2,12310026,687549
"1606669",1606669,2,12692946,1113679
"5713561",5713561,2,12692946,1832951
"2357289",2357289,2,12671106,227532
"1283315",1283315,2,12310026,65649
"1652069",1652069,2,12671106,1498304
"2401091",2401091,2,12671106,94795
"5736952",5736952,2,12310026,995851
"4423600",4423600,2,12692946,654499
"7783296",7783296,2,12671106,1829721
"5703303",5703303,2,12578706,1845531
"4126775",4126775,2,12310026,364649
"1120229",1120229,2,12692946,1585319
"6463117",6463117,2,12310026,1211855
"7018283",7018283,2,12671106,399258
"3598735",3598735,2,12671106,499660
"1414982",1414982,2,12692946,1313508
"2671379",2671379,2,12489066,985523
"3488072",3488072,2,12671106,167084
"6241051",6241051,2,12310026,1094904
"5257668",5257668,2,12671106,1756021
"6103037",6103037,2,12671106,941767
"4797790",4797790,2,12692946,1661253
"1215049",1215049,2,12692946,1330202
"4624755",4624755,2,12489066,1840964
"5770856",5770856,2,12310026,1182705
"4441093",4441093,2,12692946,133796
"5413454",5413454,2,12671106,1551456
"609074",609074,2,12671106,1270949
"2960286",2960286,2,12671106,1869434
"6314418",6314418,2,12489066,981713
"3538441",3538441,2,12671106,1103379
"2291829",2291829,2,12671106,960805
"7711520",7711520,2,12310026,82071
"2389804",2389804,2,12671106,1400051
"2525937",2525937,2,12671106,1161741
"366815",366815,2,12671106,146829
"5631932",5631932,2,12310026,154375
"3769380",3769380,2,12671106,959044
"6381065",6381065,2,12692946,681095
"5783277",5783277,2,12578706,1392348
"7350129",7350129,2,12692946,1441897
"2364343",2364343,2,12671106,1797557
"5053928",5053928,2,12310026,1325501
"6363710",6363710,2,12310026,1676385
"1040448",1040448,2,12692946,1245969
"6664472",6664472,2,12671106,112554
"478555",478555,2,12671106,633808
"4196297",4196297,2,12310026,1807794
"7565702",7565702,2,12578706,561933
"3643424",3643424,2,12671106,939094
"6507340",6507340,2,12310026,536762
"1114615",1114615,2,12671106,61551
